Case_Type,統一編號,公司名稱,Cmpy_Address,代表人,資本額,核准設立日期
Establishment,28114237,台灣創明股份有限公司,新竹市東區力行一路1號1樓之A12-5,王珊惠,1600000,1051223
Establishment,29186949,開力肯材料科技股份有限公司,臺中市梧棲區草湳里經三路39號,林三貴,30000000,1051207
Establishment,51157460,香港商阿里巴巴香港電子商務有限公司,臺北市松山區南京東路5段188號11樓,傅紀清,1000000,1051130
Establishment,51166572,美商康進資訊有限公司,新北市新莊區新北大道3段7號15樓之2,王博正,2000000,1051201
Establishment,51206309,英屬維京群島商萬英有限公司,桃園市楊梅區楊新北路119號(一樓),蕭健仁,200000000,1051130
Establishment,51211605,加拿大商飛思客有限公司,臺北市大安區忠孝東路4段169號12樓,瑞德倫,1999998,1051130
Establishment,51212203,日商明思國際股份有限公司,臺北市大安區正聲里忠孝東路4段270號17樓,大崎敦士,1000000,1051201
Establishment,51212409,權鴻企業有限公司,金門縣金寧鄉盤山村下堡100-18號3樓,莊乃權,3000000,1051201
Establishment,51212604,美商天順諮詢顧問有限公司,臺北市松山區民權東路3段178號8樓,何鑫,0,1051201
Establishment,51214602,新加坡商聯鋼科技股份有限公司,高雄市左營區博愛二路366號28樓之6,傅成寶,3000000,1051201
Establishment,51215406,麥克堡廣告有限公司,金門縣金湖鎮新湖里市港二路211號,陳寶貝,500000,1051201
Establishment,51218608,新加坡商席格弗股份有限公司,臺北市松山區復興北路57號14樓之3,ROSWELL  SHEARER  WOLFF,0,1051202
Establishment,51218902,香港商宏裕顧問有限公司,桃園市桃園區新埔五街90號4樓之2,David  Wang,0,1051202
Establishment,51220007,美商新世紀清潔有限公司,臺北市大安區延吉街179號12樓,OH ALFONSO SEONG HOON,0,1051205
Establishment,51220409,英屬維京群島商睿利開發股份有限公司,高雄市新興區仁愛一街294號3樓之1,蔡冠廷,1001250,1051202
Establishment,51221202,薩摩亞商永盛企業有限公司,高雄市鼓山區富農路82號22樓,朴鎔埶,0,1051205
Establishment,51223200,塞席爾商樂飛亞科技股份有限公司,臺北市內湖區陽光街351號4樓之3,林子揚,1500000,1051205
Establishment,51226305,塞席爾商貝爾達股份有限公司,新北市三重區中央南路111號9樓之3,張月雲,1000000,1051205
Establishment,51227705,薩摩亞商思創生物科技股份有限公司,臺北市文山區羅斯福路6段166號6樓,朱麗娟,1500000,1051205
Establishment,51229106,英屬維京群島商環宇生醫科技股份有限公司,新北市新店區民權路95號12樓之1、2,蔡耀銘,500000,1051212
Establishment,51229936,香港商沙士基達曼內斯曼國際有限公司,臺北市信義區信義路5段5號,彼得梅亞,0,1051206
Establishment,51230477,香港商長榮貿易有限公司,臺中市西區忠明里博館路117號地下1層,陳致彰,0,1051213
Establishment,51230510,薩摩亞圖騰實業股份有限公司,臺北市內湖區瑞光路268號5樓,陳珮甄,0,1051207
Establishment,51230693,鼎泉營造有限公司,金門縣金湖鎮新湖里塔后163號,趙浩權,3000000,1051207
Establishment,51230716,香港商富藝斯拍賣有限公司,臺北市信義區信義路5段8號14樓,Annette  Christine  SCHWAER,0,1051207
Establishment,51231068,英屬維京群島商卓誠投資有限公司,臺北市信義區松智路1號11樓,張家榮,500000,1051207
Establishment,51231145,香港商凱僑股份有限公司,臺北市信義區文昌街316號4樓之2,澤田 將人,500000,1051208
Establishment,51231172,美商佩斯卡多有限公司,臺北市內湖區瑞光路478巷24號6樓,顏元鉍,10000000,1051208
Establishment,51231222,薩摩亞商優勝美地有限公司,臺北市松山區新東街41-6號6樓,楊雅淳,0,1051208
Establishment,51231476,香港商力隆國際商務發展有限公司,新北市新莊區頭興街178號3樓,楊明琪,286300,1051212
Establishment,51231551,薩摩亞商詮譯國際投資控股有限公司,臺北市信義區忠孝東路5段510號10樓之2,吳侑勳,6000000,1051209
Establishment,51231763,富國投資有限公司,金門縣金寧鄉埔邊63號,王振利,1100000,1051208
Establishment,51231877,薩摩亞商博揚有限公司,臺北市士林區天玉里中山北路7段77號14樓,林蓉芬,1000000,1051209
Establishment,51232405,日商宇航人股份有限公司,臺北市中山區民權東路2段146號3樓,楊建標,500000,1051209
Establishment,51232572,英屬維京群島商昕兆股份有限公司,新北市中和區中原里立德街123號7樓,洪偉豪,2000000,1051209
Establishment,51232670,香港商世翼股份有限公司,臺北市大安區忠孝東路4段147巷1號5樓,三佐佐川豊,0,1051209
Establishment,51232876,英屬安吉拉商佳韻有限公司,臺中市大雅區上雅里民生路1段336巷16號1樓,張玉貞,0,1051209
Establishment,51233122,香港商恩特科技有限公司,桃園市桃園區大興西路2段6號15樓之5,王榮吉,0,1051215
Establishment,51233170,瑞士商萬事隆有限公司,新北市中和區中央路1段292巷11號5樓,伍文宏,0,1051212
Establishment,51233381,香港商思銳無線亞太有限公司,臺北市信義區信義路4段415號12樓,鄭伯楠,100000,1051212
Establishment,51233798,美商莫迪弗有限公司,臺北市松山區南京東路4段1號11樓,Eric  Matthew  Strasser,0,1051213
Establishment,51234635,天承興業有限公司,金門縣金湖鎮料羅里料羅新村7號,黃宇榕,2000000,1051214
Establishment,51234874,宏旗營造有限公司,連江縣南竿鄉馬祖村41號,葉嘉吉,3000000,1051214
Establishment,51234918,香港商香港凱原科技有限公司,彰化縣彰化市福安里華山路37號11樓之3,胡宇晴,5000000,1051215
Establishment,51235120,復鼎營造有限公司,金門縣金湖鎮新湖里前港路5巷8號,楊肅偉,3000000,1051214
Establishment,51235199,香港商萃豐有限公司,新北市汐止區大同路1段276號4樓,陳潔清,0,1051215
Establishment,51235249,薩摩亞商沃宇科技股份有限公司,臺中市西屯區惠來里市政路500號27樓之6,許丞佑,8000000,1051215
Establishment,51235698,以色列商西帕提通訊有限公司,臺北市大同區南京西路163號2樓之48,GUY  ZBARSKY,0,1051216
Establishment,51235819,香港商騰福亞太有限公司,臺北市大安區忠孝東路4段295號3樓,袁駿豪,100000,1051216
Establishment,51235867,日商富士國際股份有限公司,臺北市士林區忠誠路1段163號3樓,陳肇忠,500000,1051219
Establishment,51235971,日商合同亞?琥有限公司,臺北市信義區基隆路2段51號14樓,若島由己子,0,1051219
Establishment,51236578,新加坡藍恩資訊股份有限公司,臺北市北投區中央南路2段12-25號6樓,SHIH  CHING  YEN,0,1051220
Establishment,51237458,薩摩亞商安威通訊有限公司,新北市新莊區五權二路8號8樓,馮泰豪,500000,1051220
Establishment,51237534,英商瑞洛仕登有限公司,臺南市東區東寧路429號2樓,李柏弘,200000,1051220
Establishment,51237680,德商鐠羅工匠電競股份有限公司,新北市永和區中和路445號6樓,趙杏琪,500000,1051220
Establishment,51237817,新加坡商永樂科技股份有限公司,臺北市信義區松德路159號11樓之2,安東尼,0,1051221
Establishment,51238029,鼎宏物業有限公司,金門縣金寧鄉榜林村伯玉路1段238號,李立宏,2000000,1051221
Establishment,51238034,香港商名車漫遊有限公司,臺北市松山區復興北路181號2樓之3,辛易真,0,1051228
Establishment,51238463,薩摩亞商極好科技股份有限公司,臺北市信義區忠孝東路4段563號9樓,楊雅淳,0,1051221
Establishment,51238479,香港商酒龍頭諮詢有限公司,臺北市松山區南京東路4段103號7樓之3,阿天,500000,1051221
Establishment,51238739,英屬維京群島商耐思科技有限公司,臺北市內湖區洲子街183號2樓,胡財騵,2000000,1051221
Establishment,51238800,金昌盛企業有限公司,金門縣金湖鎮新湖里塔后283號,李國昌,3000000,1051221
Establishment,51238822,昌恩營造廠有限公司,金門縣金寧鄉盤山村頂堡12-1號,翁明弘,3000000,1051220
Establishment,51238962,香港商西西艾設計製造有限公司,臺北市內湖區內湖路1段47巷34-2號7樓,胡保生,0,1051220
Establishment,51240307,英商海德益有限公司,臺北市中山區復興北路164號4樓,雷彼得,200000,1051221
Establishment,51243000,薩摩亞商桑瑞斯有限公司,臺北市內湖區瑞光路268號5樓,陳珮甄,10000000,1051222
Establishment,51247006,英屬維京群島商雲核網路有限公司,新北市汐止區新台五路1段77號11樓之5,許嘉明,5000000,1051221
Establishment,51248103,誠家開發建設有限公司,金門縣金湖鎮新湖里塔后166-1號,李孝光,6000000,1051221
Establishment,51248602,英屬安圭拉商哇喔有限公司,桃園市桃園區建國路34號,黃琦寓,1000000,1051221
Establishment,51252106,德承投資股份有限公司,臺北市中正區襄陽路9號10樓,張良如,781100000,1051222
Establishment,51252112,祥通事業股份有限公司,連江縣南竿鄉福沃村6鄰88號,曹祥通,2000000,1051228
Establishment,51255407,香港商伯恩科技有限公司,桃園市平鎮區平安里南平路149-6號13樓,楊俊光,1000000,1051227
Establishment,51258903,塞席爾商頂?國際開發有限公司,新北市鶯歌區重慶街88號3樓,杜淑慧,500000,1051223
Establishment,51259207,香港商亞洲前線運動有限公司,新北市永和區永和路2段147號10樓之2,何鍚漢,1000000,1051223
Establishment,51262701,英屬開曼群島商頤泰資本股份有限公司,臺北市大安區敦化南路2段333號18樓,鄭敦謙,1000000,1051222
Establishment,51270505,香港商凱家包裝有限公司,彰化縣彰化市福安里華山路37號11樓之3,胡宇晴,5000000,1051223
Establishment,51270907,義大利商貝可有限公司,彰化縣和美鎮嘉犁里鎮東路69號,羅貝德,500000,1051222
Establishment,51277107,日商頂達史克威爾股份有限公司,臺北市信義區西村里信義路5段5號,面木 洋一,0,1051222
Establishment,51280503,薩摩亞商威海資產有限公司,臺北市大安區忠孝東路4段270號17樓,沈敬傑,2000000,1051223
Establishment,51281307,美商關島外聯資訊股份有限公司,高雄市苓雅區林森二路96號1樓,彭可婷,0,1051229
Establishment,51282066,澳商易思奎有限公司,臺北市松山區民生東路5段149號9樓,矢?淳子,80000,1051228
Establishment,51282143,香港商禾耀國際有限公司,桃園市龍潭區工一路150巷32號,李美秋,5000000,1051227
Establishment,51282360,氫淼科技股份有限公司,金門縣金城鎮西門里珠浦西路88巷11號,黃文?,15000000,1051229
Establishment,51282426,美商系譜股份有限公司,新竹市東區竹蓮里竹蓮街112號1樓,楊文焜,1000000,1051227
Establishment,51282951,新加坡商星億科技有限公司,新竹市北區光華一街7號5樓之1,陳鵬,1000000,1051228
Establishment,51282994,塞席爾商皇嘉生技股份有限公司,新北市板橋區實踐路159-2號,呂玟諺,500000,1051228
Establishment,51283142,英屬維京群島商捷康有限公司,新北市汐止區中興路100號4樓,康自強,200000000,1051227
Establishment,51283207,加拿大商派克包裝有限公司,臺中市西區臺灣大道2段285號20樓,林宗毅,1000000,1051228
Establishment,51283473,頡安營造有限公司,金門縣金城鎮環島北路1段38巷16弄5號3樓,李養生,6000000,1051228
Establishment,51283733,兆發營建有限公司,金門縣金城鎮東門里14鄰民族路31-8號3樓,朱繼媛,3000000,1051229
Establishment,51283945,薩摩亞商艾摩數位有限公司,臺北市大安區光復南路612號5樓,陳柏鈞,1280000,1051229
Establishment,51284070,薩摩亞商廣極國際股份有限公司,臺北市信義區忠孝東路5段410號18樓之2,卓慧珍,0,1051229
Establishment,51284212,英屬安吉拉商星領有限公司,臺中市西區模範街1巷2號3樓,尤淑真,0,1051229
Establishment,51284281,美商脈猛科技國際有限公司,臺北市松山區復興北路369號4樓之2,Tabetha Lynn Hinman ,300000,1051229
Establishment,51284521,英屬維京群島商匯巨有限公司,臺北市信義區忠孝東路5段550號4樓,時醒華,500000,1051230
Establishment,52463044,喬日投資有限公司,臺北市內湖區民權東路6段160號3樓之1,邱榮本,28700000,1051201
Establishment,52463776,鼐克新技股份有限公司,臺北市信義區松仁路228巷7弄8號,紀明螢,10000000,1051201
Establishment,52463987,寶立開發建設有限公司,臺北市中正區青島東路5號6樓,姚文亮,3000000,1051130
Establishment,52464178,敏恩妮良品有限公司,臺北市士林區天玉街1號1樓,莊忻怡,2000000,1051201
Establishment,52464206,大新科技出版有限公司,臺北市大安區瑞安街256巷16號,林駿煌,10000000,1051201
Establishment,52464368,華圖科技有限公司,臺北市南港區研究院路2段80號5樓,劉才華,300000,1051130
Establishment,52464634,瑞庚管理顧問股份有限公司,臺北市內湖區內湖路1段308號8樓,陳金德,15000000,1051130
Establishment,52464655,千綺有限公司,臺北市士林區忠誠路2段166巷28弄12號1樓,曹永圻,300000,1051201
Establishment,52464698,恩名實業有限公司,臺北市中正區羅斯福路1段24號之1,陳康怡,100000,1051130
Establishment,52464775,天宇文化傳媒有限公司,臺北市松山區延壽街356巷4弄14號,周大業,20000,1051130
Establishment,52464867,花水木科技股份有限公司,臺北市松山區八德路3段81號3樓之5,安土美津子,5000000,1051130
Establishment,52464888,泛美生醫科技有限公司,臺北市松山區南京東路4段126號7樓,黃青鋒,500000,1051130
Establishment,52464901,震泰生醫股份有限公司,臺北市信義區和平東路3段523號,李冬陽,40000000,1051201
Establishment,52464923,春樺環保科技有限公司,臺北市信義區忠孝東路5段1之3號14樓,周秀春,30000,1051130
Establishment,52465248,凱岳綜合有限公司,臺北市中正區臨沂街71巷2號1樓,張凱昇,800000,1051201
Establishment,52465325,懷特國際行銷顧問有限公司,臺北市松山區南京東路4段50號12樓之1,王怡?,500000,1051201
Establishment,52465394,漢聯投資有限公司,臺北市內湖區民權東路6段160號3樓之1,劉漢陽,95500000,1051201
Establishment,52465444,一藤桌腳設計股份有限公司,臺北市中正區濟南路2段31之47號,饒瑞祐,300000,1051201
Establishment,52465471,鼎瀚科技股份有限公司,臺北市北投區北投路2段13號6樓,蔡吉文,46000000,1051201
Establishment,52465562,元明室內裝修設計工程有限公司,臺北市萬華區西藏路125巷11號10樓之3,胡孝明,1000000,1051201
Establishment,52465578,極樂流行事業有限公司,臺北市大安區敦化南路1段177巷12弄4號,許芳熏,400000,1051202
Establishment,52465633,流行時尚家居股份有限公司,臺北市信義區忠孝東路5段510號15樓之2,郭仁貴,20000000,1051201
Establishment,52465649,佳林貳創業投資股份有限公司,臺北市中山區松江路139號7樓之2,林豐儀,467000000,1051201
Establishment,52465866,格梵有限公司,臺北市中山區新生北路3段68巷5號,紀宛君,1000000,1051201
Establishment,52465916,宏昇國際能源有限公司,臺北市中山區龍江路394巷3號1樓,張維鑫,1000000,1051201
Establishment,52465937,萬食通企業有限公司,臺北市文山區興隆路2段217巷8之11號8樓,黃士芬,1000000,1051201
Establishment,52466062,魔幻廚房有限公司,臺北市大同區重慶北路3段266號1樓,劉威?,1000000,1051201
Establishment,52466112,鉅樂國際有限公司,臺北市文山區試院路62之6號,洪珮珈,3000000,1051201
Establishment,52466176,沐沐生活事業有限公司,臺北市大同區南京西路163號2樓之48,韓若苓,550000,1051201
Establishment,52466197,繕藝園有限公司,臺北市信義區松隆路123巷15號,陳宣云,3000000,1051201
Establishment,52466274,合德工程有限公司,臺北市中山區南京東路3段189號11樓,張景武,10000000,1051201
Establishment,52466289,泰旺國際企業有限公司,臺北市文山區景文街153號3樓,王美慧,100000,1051201
Establishment,52466302,翔兆投資有限公司,臺北市北投區大業路382號10樓之1,伍蔣清明,100000,1051201
Establishment,52466387,禾牧社企股份有限公司,臺北市中山區中山北路2段59巷32號4樓,楊瓊花,800000,1051201
Establishment,52466458,澤景國際開發有限公司,臺北市內湖區成功路4段47號1樓,游欣?,2000000,1051201
Establishment,52466561,豐舟有限公司,臺北市中正區館前路20號11樓,陳義承,5000000,1051201
Establishment,52466577,誠翊實業有限公司,臺北市中山區長春路40號7樓之6,楊守仁,1000000,1051201
Establishment,52466598,牧牧國際股份有限公司,臺北市大安區忠孝東路3段305號6樓之1,國志鳳,5000000,1051201
Establishment,52466773,天澤投資管理顧問有限公司,臺北市大安區忠孝東路4段148號7樓,姚柏安,250000,1051201
Establishment,52466865,萌兔遊戲股份有限公司,臺北市中山區錦州街46號9樓之1,張簡志緯,500000,1051201
Establishment,52466915,瑪商法式生活美學有限公司,臺北市大安區安和路2段189巷9號1樓,鄭嘉珮,2000000,1051201
Establishment,52466963,女兒紅娛樂有限公司,臺北市中山區明水路413號3樓,陳庭妮,500000,1051201
Establishment,52466990,三?生物科技有限公司,臺北市內湖區民權東路6段123巷18號2樓,趙元寧,1000000,1051201
Establishment,52467082,連讚有限公司,臺北市信義區忠孝東路5段1之2號5樓,李飛宏,300000,1051201
Establishment,52467105,崴鴻清潔有限公司,臺北市中山區南京西路1之1號11樓,蕭惠真,1000000,1051201
Establishment,52467127,欣龍發企業有限公司,臺北市松山區民族東路689號,劉欣龍,2000000,1051201
Establishment,52467148,群旺國際有限公司,臺北市信義區忠孝東路5段1之2號5樓,高群哲,300000,1051201
Establishment,52467153,晉合生物科技股份有限公司,臺北市內湖區民權東路6段123巷18號2樓,許宸通,1000000,1051201
Establishment,52467230,行能股份有限公司,臺北市中正區金門街24巷24之9號3樓,廖國棟,100000,1051201
Establishment,52467251,捕夢網數位生活有限公司,臺北市中山區松江路65號6樓,游家豪,100000,1051201
Establishment,52467267,毅遠聲學有限公司,臺北市大同區承德路1段46號3樓,張如慧,300000,1051201
Establishment,52467294,千平日本餐館有限公司,臺北市萬華區長沙街2段68號3樓,蔡景明,3000000,1051201
Establishment,52467359,怡亨有限公司,臺北市信義區忠孝東路5段1號8樓,王怡中,360000,1051201
Establishment,52467409,中奧有限公司,臺北市大安區復興南路1段259號8樓之1,黃永興,6000000,1051201
Establishment,52467421,五座森林有限公司,臺北市信義區紫雲街31之1號,楊棟樑,1000000,1051201
Establishment,52467479,非拉鐵非文創有限公司,臺北市松山區三民路9號2樓之3,方美芬,2000000,1051201
Establishment,52467490,麥斯會議展覽服務有限公司,臺北市大安區復興南路1段259號8樓之1,魏東,6000000,1051201
Establishment,52467787,禾訊科技有限公司,臺北市大安區安和路1段29號15樓,吳朝欽,1000000,1051201
Establishment,52467800,優競健身事業股份有限公司,臺北市大安區敦化南路1段188號7樓,黃柏傑,15000000,1051201
Establishment,52467864,足食有限公司,臺北市松山區南京東路5段118號6樓之3,黃冠惟,1000000,1051201
Establishment,52467914,立聖國際有限公司,臺北市信義區忠孝東路5段453號2樓之5,黃寬金,1000000,1051201
Establishment,52467941,沃得有限公司,臺北市萬華區昆明街235號7樓之3,傅松培,1000000,1051202
Establishment,52467978,捷苙科技有限公司,臺北市大安區信義路4段184號9樓,張維潔,300000,1051201
Establishment,52468006,秝豪興業有限公司,臺北市萬華區武昌街2段10號,陳俞樺,28000000,1051201
Establishment,52468028,只有更時尚股份有限公司,臺北市信義區忠孝東路5段1之2號5樓,郭易蕙,800000,1051201
Establishment,52468076,天時數位網路有限公司,臺北市信義區忠孝東路5段482號11樓,林育慶,100000,1051201
Establishment,52468147,君旺科技有限公司,臺北市大安區基隆路2段136號9樓,廖健華,1000000,1051201
Establishment,52468174,宏禧開發室內設計有限公司,臺北市信義區忠孝東路5段482號11樓,鄭天龍,1000000,1051201
Establishment,52468218,金順傳統小吃有限公司,臺北市大安區仁愛路4段122巷60號,鄧錫咪,200000,1051202
Establishment,52468250,全漢國際建設開發有限公司,臺北市南港區忠孝東路6段130號13樓之2,黃啟,1000000,1051202
Establishment,52468316,單渥名品股份有限公司,臺北市松山區八德路2段439號10樓,陳裕林,1440000,1051202
Establishment,52468358,誠敬人力資源有限公司,臺北市信義區市民大道6段250號6樓,下山敬之(SHIMOYAMA TAKAYUKI),100000,1051202
Establishment,52468441,?本設計有限公司,臺北市中正區忠孝東路1段152號12樓之5,陳健仁,500000,1051202
Establishment,52468483,寰域實境科技股份有限公司,臺北市萬華區武昌街2段118之1號1至2樓,張繼雷,13500000,1051202
Establishment,52468511,台灣安奈諾克股份有限公司,臺北市內湖區瑞光路258巷2號10樓之4,石大偉(David Brewster),30000000,1051202
Establishment,52468548,嵐巨股份有限公司,臺北市中正區忠孝西路1段41號4樓之15,廖建榮,1000000,1051202
Establishment,52468569,天母游泳培訓有限公司,臺北市大同區南京西路163號2樓之48,陳月梅,30000,1051202
Establishment,52468619,三合傅股份有限公司,臺北市中山區南京東路3段90號2樓,吳睿穎,600000,1051202
Establishment,52468701,群誠資產管理有限公司,臺北市大安區忠孝東路4段148號7樓,李俊輝,1600000,1051202
Establishment,52468738,全美環保顧問有限公司,臺北市信義區忠孝東路5段1-8號11樓,林信敏,100000,1051202
Establishment,52468765,孟佳貿易有限公司,臺北市中山區新生北路2段41巷8號4樓,李佳璋,2000000,1051202
Establishment,52468907,台智電股份有限公司,臺北市內湖區民權東路6段11巷37之1號4樓,林家弘,1000000,1051202
Establishment,52468982,聖鴻投資股份有限公司,臺北市士林區福華路147巷12號3樓,楊清慈,10000000,1051205
Establishment,52469005,天和開發股份有限公司,臺北市中正區青島東路4號5樓之9,高嘉璘,3000000,1051202
Establishment,52469027,以勤國際有限公司,臺北市大安區忠孝東路3段251巷3弄6號1樓,陳安琪,5000,1051202
Establishment,52469188,美德仕有限公司,臺北市內湖區金龍路222巷6號10樓,宋吉瑞,500000,1051202
Establishment,52469194,創新國際顧問有限公司,臺北市內湖區基湖路10巷57號4樓之1,林珮瑩,1000000,1051202
Establishment,52469259,易亨廣告有限公司,臺北市中正區漢口街1段27號6樓,羅郁晴,100000,1051202
Establishment,52469357,台灣蓓拉菲詩有限公司,臺北市大安區仁愛路4段110號3樓之4,盧玫君,500000,1051202
Establishment,52469498,瑪利嘉股份有限公司,臺北市中山區中山北路2段20巷8號,山口  繪理子,3000000,1051205
Establishment,52469531,學好好學人文教育有限公司,臺北市士林區天母西路15號,石廷宇,200000,1051202
Establishment,52469568,臺灣數字王國有限公司,臺北市內湖區行愛路69號2樓,謝安,15000000,1051205
Establishment,52469693,舒克清生物科技股份有限公司,臺北市中山區林森北路627號5樓之1,丁力行,5800000,1051206
Establishment,52469770,男子製本所有限公司,臺北市中正區羅斯福路2段70號7樓之8,簡子傑,400000,1051202
Establishment,52469791,愛思益科技有限公司,臺北市中山區民族東路60號4樓之6,呂雪玉,100000,1051202
Establishment,52469906,幸運星文創有限公司,臺北市士林區天母西路3號10樓之14,楊大衛,180000,1051205
Establishment,52469912,儷客旅店有限公司,臺北市萬華區西寧南路36號10樓之3,張舜絜,1500000,1051202
Establishment,52469933,微風虹雅有限公司,臺北市士林區德行東路47號1樓,劉虹雅,1000000,1051202
Establishment,52469997,神鵰全球網絡有限公司,臺北市信義區忠孝東路5段510號15樓,?英翔,1000000,1051202
Establishment,52470018,兆恆國際有限公司,臺北市大安區信義路2段72號12樓,陳威志,500000,1051202
